,name,link,compensation,employer_name,employer_link,vacancy_address,pub_date
153,Digital Management Trainee (corporate digital),https://hh.ru/vacancy/45814646?query=Data%20science,"('', '70000', 'руб.')",АО    L’Oréal,https://hh.ru/employer/590,Москва,29 июня
154,"(Sr) Researcher / (Sr) Analyst, Research and Analysis (Market research, Exports & Imports, PE / FDI)",https://hh.ru/vacancy/44349837?query=Data%20science,Не указано,Qatar-Russia,https://hh.ru/employer/4443815,Москва,28 июня
155,Python разработчик в SberDevices (команда Intelligent Search),https://hh.ru/vacancy/43201449?query=Data%20science,Не указано,Сбер. IT,https://hh.ru/employer/3529?dpt=3529-3529-it,Москва,28 июня
156,Python Developer,https://hh.ru/vacancy/45445490?query=Data%20science,"('150000', '', 'руб.')",ООО    Айсиэм,https://hh.ru/employer/3320111,Москва,28 июня
157,Юрист в претензионный отдел,https://hh.ru/vacancy/45508222?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,1 июля
158,Backend Developer (Citi Velocity),https://hh.ru/vacancy/44356099?query=Data%20science,Не указано,АО    Citibank,https://hh.ru/employer/2383,Москва,29 июня
159,Masters Programme Director,https://hh.ru/vacancy/45832692?query=Data%20science,Не указано,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,https://hh.ru/employer/3508081,Москва,29 июня
160,Salesforce Developer,https://hh.ru/vacancy/44602136?query=Data%20science,"('3000', '', 'EUR')",Exness,https://hh.ru/employer/1312113,Москва,28 июня
161,Инженер по предиктивному ТО,https://hh.ru/vacancy/45323474?query=Data%20science,"('130000', '', 'руб.')","Волга-Днепр, Группа компаний",https://hh.ru/employer/2346,Москва,29 июня
162,CAD Engineer/EDA Developer,https://hh.ru/vacancy/45792814?query=Data%20science,Не указано,Intel Corporation,https://hh.ru/employer/2716,Москва,28 июня
163,Менеджер по аналитике (коммерческий блок),https://hh.ru/vacancy/45482174?query=Data%20science,Не указано,М.Видео-Эльдорадо. Офис,https://hh.ru/employer/2523?dpt=2523-2523-ofis,Москва,28 июня
164,Аналитик в команду роста портфеля зарплатных клиентов,https://hh.ru/vacancy/45128095?query=Data%20science,Не указано,Райффайзенбанк,https://hh.ru/employer/4023,Москва,28 июня
165,Project Manager,https://hh.ru/vacancy/45793699?query=Data%20science,Не указано,ООО    Перфект Арт,https://hh.ru/employer/2618793,Москва,28 июня
166,"Senior Site Management Associate I (SCRA I), Real World Late Phase studies",https://hh.ru/vacancy/45776940?query=Data%20science,Не указано,Syneos Health,https://hh.ru/employer/45688,Москва,28 июня
167,Fullstack Software Developer,https://hh.ru/vacancy/45796293?query=Data%20science,Не указано,Innovative People,https://hh.ru/employer/53368,Москва,28 июня
168,Веб-тестировщик,https://hh.ru/vacancy/45796630?query=Data%20science,"('60000', '', 'руб.')",strikt,https://hh.ru/employer/1334890,Москва,28 июня
169,DevRel специалист в open source продукт,https://hh.ru/vacancy/45630566?query=Data%20science,Не указано,Контур,https://hh.ru/employer/41862,Москва,28 июня
170,Менеджер по продажам в  JungleJobs.ru,https://hh.ru/vacancy/45825600?query=Data%20science,Не указано,TalentTech,https://hh.ru/employer/3238482,Москва,29 июня
171,DevOps инженер (AWS),https://hh.ru/vacancy/45778893?query=Data%20science,Не указано,"EPAM Systems, Inc.",https://hh.ru/employer/6769,Москва,28 июня
172,Продюсер,https://hh.ru/vacancy/45798852?query=Data%20science,Не указано,GeekBrains,https://hh.ru/employer/1111672,Москва,28 июня
173,SEO-специалист,https://hh.ru/vacancy/45796325?query=Data%20science,"('', '30000', 'руб.')",strikt,https://hh.ru/employer/1334890,Москва,28 июня
174,Frontend Developer (Mercedes-Benz Financial Services),https://hh.ru/vacancy/44828533?query=Data%20science,Не указано,АО    Мерседес-Бенц РУС,https://hh.ru/employer/3722,Москва,28 июня
175,Presales Engineer,https://hh.ru/vacancy/45683492?query=Data%20science,Не указано,Data Virtuality GmbH,https://hh.ru/employer/2467559,Москва,2 июля
176,Senior Biostatistician,https://hh.ru/vacancy/45429289?query=Data%20science,Не указано,Parexel International,https://hh.ru/employer/25362,Москва,25 июня
